release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 14 (14.0.1),End of Life,99,Y,Y99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Process Engine,Release 18 | (14.0.1),End of Life,99,Z,Z99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Event Handling Framework,,End of Life,99,AA,AA99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Reporting,,End of Life,99,AB,AB99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,OAuth Registry,,End of Life,99,AC,AC99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,AI Assistant,,End of Life,99,AD,AD99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Import Manager,,End of Life,99,AE,AE99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Workflow UI,,End of Life,99,AF,AF99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,IOM SDK,15.0.1,End of Life,99,AG,AG99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Package Import/Export Utility,,End of Life,99,AH,AH99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 19 (14.0.2)[1],End of Life,102,Y,Y102
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Enterprise Search,Release 20 (14.0.2),End of Life,105,X,X105
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 21 (14.0.3),End of Life,105,Y,Y105
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 26 (14.0.4),End of Life,108,Y,Y108
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Enterprise Search,Release 32 (14.0.3),End of Life,111,X,X111
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 29 (14.0.5),End of Life,111,Y,Y111
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 31 (14.0.6),End of Life,114,Y,Y114
Release 19 | (Build 14.0.5.34717),Jun-2025 2,3D Visualization,Release 33 (14.0.7),End of Life,117,Y,Y117
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Product Engineering,Release 14 | (14.0.1),End of Life,120,D,D120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Program Management,Release 14 | (14.0.1),End of Life,120,E,E120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Requirements Engineering,Release 14 | (14.0.1),End of Life,120,F,F120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Systems Architecture,Release 14 | (14.0.1),End of Life,120,G,G120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Simulation Management,Release 14 | (14.0.1),End of Life,120,H,H120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Component Engineering,Release 14 | (14.0.1),End of Life,120,I,I120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Technical Documentation,Release 14 | (14.0.1),End of Life,120,J,J120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Quality Management System,Release 14 | (14.0.1),End of Life,120,K,K120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Process Quality Binding,Release 14 | (14.0.1),End of Life,120,L,L120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Manufacturing Process Planning,Release 19 | (14.0.2),End of Life,120,M,M120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Digital Twin Core,Release 20 | (14.0.1),End of Life,120,N,N120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Unified Change Management,,End of Life,120,O,O120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Variant Management,,End of Life,120,P,P120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,High Tech Electronics,,End of Life,120,Q,Q120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Supplier Management,,End of Life,120,R,R120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Aras ProAppDesigner,,End of Life,120,S,S120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Aras Portal,,End of Life,120,T,T120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Office Connector,Release 14 (14.0.1),End of Life,120,U,U120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,120,V,V120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Workspace Productivity Connector,,End of Life,120,W,W120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Enterprise Search,Release 14 (14.0.1),End of Life,120,X,X120
